CERTIFICATES,Victorian Energy Efficiency Cert
CERTIFICATES,EEIS Charge
CERTIFICATES,ESC Charge
CERTIFICATES,ESC Exemption
CERTIFICATES,SREC PEC Charge
CERTIFICATES,LREC PEC Charge
CERTIFICATES,VEEC Exemption
CERTIFICATES,SREC Adjuctment
CAPACITIES,Capacity Charge
CAPACITIES,Demand Capacity
CAPACITIES,Transmission Capacity Charge
CAPACITIES,Capacity kW
CAPACITIES,Capacity kVA
CAPACITIES,Capacity
DEMANDS,Pressure Reduction Charge
CAPACITIES,Local Capcity Charge
CAPACITIES,Capacity Distance
CAPACITIES,TUOS Capacity
CAPACITIES,DUOS Capacity
CAPACITIES,TUOS Capacity Charge
CAPACITIES,DUOS Capacity Charge
CAPACITIES,Authorised Demand
CAPACITIES,Network charges - Peak Capacity
CAPACITIES,Network charges - Transmission Capacity Charge
CAPACITIES,Network charges - Rolling Capacity
CAPACITIES,Network charges - Local Capcity Charge
CAPACITIES,Network charges - Capacity Distance
CAPACITIES,Network charges - Capacity kW
CAPACITIES,Network charges - Capacity Demand Charge
CAPACITIES,Network charges - Capacity kVA
CAPACITIES,Network charges - TUOS Capacity Charge
CAPACITIES,Network charges - DUOS Capacity Charge
CAPACITIES,Network charges - TUOS Capacity
CAPACITIES,Network charges - DUOS Capacity
CAPACITIES,NonCap Meter Service
CAPACITIES,Cap Meter Service
CAPACITIES,Jul 2019 Capacity charge adjustment
CAPACITIES,Delivery Capacity
CAPACITIES,Availability
CAPACITIES,Capacity Mechanism
CAPACITIES,Facilities Charge
CAPACITIES,Capacity Market
CAPACITIES,Availability Charge
CAPACITIES,kVA-km Fixed
CAPACITIES,DUoS Capacity Charge
CAPACITIES,Excess Capacity Charge
CAPACITIES,Capacity and Energy
CAPACITIES,Change in Capacity Cost
CAPACITIES,Agreed Supply Capacity Charge
CAPACITIES,Agreed Supply Capacity Excess
CAPACITIES,Power Factor Charge
CAPACITIES,PowerFreeze Capacity
CAPACITIES,Transformer Capacity Charge
CAPACITIES,Fixed Daily Capacity Charge
CAPACITIES,Distance Charge
ENERGY_SOLAR,Export Electricity Charge
ENERGY_SOLAR,Export Electricity Charge**
ENERGY_SOLAR,Demand Response
ENERGY_SOLAR,RCTI Adjustments
ENERGY_SOLAR,CoGen
ENERGY_SOLAR,Solar Feed-in
ENERGY_SOLAR,solar contribution
ENERGY_SOLAR,Feed-in Tariff
ENERGY_SOLAR,Solar Meter Charge
ENERGY_SOLAR,Retailer Solar Buy Back Rate
ENERGY_SOLAR,VIC Feed-In Tariff
ENERGY_SOLAR,RCTI TRANSACTIONS
ENERGY_SOLAR,ENERGY EXPORTED
ENERGY_SOLAR,Solar Feed-in-Tariff
ENERGY_SOLAR,Standard Feed-in Tariff
ENERGY_SOLAR,Feed-In Tariff
ENERGY_SOLAR,Solar feed in rate
ENERGY_SOLAR,Your total solar contribution
ENERGY_SOLAR,Solar Standard FeedIn Tariff**
ENERGY_SOLAR,Zero Rate Solar Co Gen
ENERGY_SOLAR,Solar Feed In Scheme
ENERGY_SOLAR,Solar Credit
ENERGY_SOLAR,Solar Exports
ENERGY_SOLAR,Solar Exports - Solar feed-in for Regional Queensland
ENERGY_SOLAR,Solar Exports - Solar Bonus Scheme
ENERGY_SOLAR,Peak Buy back
ENERGY_SOLAR,Off Peak Buy back
ENERGY_SOLAR,Shoulder Buy back
ENERGY_SOLAR,Solar Retailer Contribution
ENERGY_SOLAR,Solar Bonus Scheme
ENERGY_SOLAR,Generation Buyback
ENERGY_SOLAR,Solar Scheme
ENERGY_SOLAR,Feed-in Top
ENERGY_SOLAR,Photovoltaic NRES Partial FIT energy
ENERGY_SOLAR,Solar Requirements Charge
ENERGY_SOLAR,SolarRequirementsCharge
ENERGY_SOLAR,Premium Solar Feed In Tariff
ENERGY_SOLAR,Solar Feed In Tariff
ENERGY_SOLAR,Off Peak Business Feed-in Credit
ENERGY_SOLAR,Through Charge Export from Site
ENERGY_SOLAR,Solar FIT
ENERGY_SOLAR,FIT Voluntary
ENERGY_SOLAR,Solar Usage
ENERGY_SOLAR,Solar Consumption
ENERGY_SOLAR,Solar Consumed
ENERGY_SOLAR,Oregon Solar Investment
ENERGY_SOLAR,Solar equirements Charge
ENERGY_SOLAR,Solar Import Tariff
ENERGY_SOLAR,Solar Bonus Import
ENERGY_SOLAR,Solar Rebate
ENERGY_SOLAR,AnyTime Solar
GREEN,Green
GREEN,Pure Energy Choice
GREEN,Green Gas
GREEN,GreenPower
GREEN,Green Power
GREEN,Green Power Charge
GREEN,AGL Green Energy
GREEN,Greensense Level
GREEN,HVAC LoadFlex Project Fee
GREEN,Green Energy
GREEN,Green Living
GREEN,Green Gas Levy
GREEN,20% Green Power
GREEN,Green Product
GREEN,Reverse - 20% Green Power
GREEN,GreenPower Charges
GREEN,Green Energy Charge
GREEN,Next GreenPower
GREEN,Greenpower
GREEN,Greensense Level 1
GREEN,Greensense View Subscription
GREEN,Greenergy Partner Plus
GREEN,Temp.GreenPowerFinancing
GREEN,Total greenhouse gas emissions
GREEN,Green Electricity Tariff
GREEN,20% Green Product
GREEN,Renewable Energy - Green Power
GREEN,GreenPower Charge
GREEN,Diamond Pure Plus
GREEN,Greensense
GREEN,100% GreenPower
GREEN,100%GreenPower
GREEN,EL GREEN ENERGY CHARGE
GREEN,Going Green
GREEN,100% Green Product
GREEN,100% Green Power
GREEN,GreenPower Charges - 20% Green Product
GREEN,GreenPower Charges - 100% GreenPower
GREEN,GreenPower Charges - 100% Green Product
GREEN,GreenPower Charges - Green Energy
GREEN,GreenPower Charges - Green Gas
GREEN,GreenPower Charges - Green Power Charge
GREEN,GreenPower Charges - Going Green
GREEN,Renewable Energy - 6% GreenPower
GREEN,Renewable Energy - 20% Green Product
GREEN,Renewable Energy - 100% GreenPower
GREEN,Renewable Energy - 100% Green Product
GREEN,Renewable Energy - Green Energy
GREEN,Renewable Energy - Green Gas
GREEN,Renewable Energy - Green Power Charge
GREEN,Renewable Energy - Going Green
EXTRA_CHARGES,Move Out Fee
EXTRA_CHARGES,Interest Charges**
EXTRA_CHARGES,Consumption Charge Adjustment
EXTRA_CHARGES,Incorrect Network Charge due to
EXTRA_CHARGES,GSL Rebate
EXTRA_CHARGES,ISU Excluded Services
EXTRA_CHARGES,Meter Installation Fee
EXTRA_CHARGES,Paper Bill Fee
EXTRA_CHARGES,On Account(No GST)
DISCOUNTS,Pay On Time Usage Discount
EXTRA_CHARGES,Special Meter Read Fee
EXTRA_CHARGES,Reconnection Fee
EXTRA_CHARGES,Card Payment Fee
EXTRA_CHARGES,Write-Off
EXTRA_CHARGES,Network Passthrough
EXTRA_CHARGES,Disconnection for Debt Fee
EXTRA_CHARGES,Out of Code Adjustment
EXTRA_CHARGES,Miscellaneous
EXTRA_CHARGES,Meter Removal Fee
EXTRA_CHARGES,Meter Investigation/Test Fee
EXTRA_CHARGES,Goodwill Credit
EXTRA_CHARGES,Service Order Fee Reversal
EXTRA_CHARGES,Manual Debt Migration
EXTRA_CHARGES,Benefit Not Received
EXTRA_CHARGES,Meter works administration fee
EXTRA_CHARGES,Card fee adjust
EXTRA_CHARGES,NSW Family Energy Rebate
EXTRA_CHARGES,Wrongful disconnection
EXTRA_CHARGES,"On Account(non-taxable,no GST)"
EXTRA_CHARGES,"Reversal(non-taxable,no GST)"
EXTRA_CHARGES,On Account
EXTRA_CHARGES,Meter/Device Alteration Fee
EXTRA_CHARGES,Device Installation Fee
EXTRA_CHARGES,Meter/Device Removal Fee
EXTRA_CHARGES,Abolishment Fee
METERING,Metering charges
EXTRA_CHARGES,Write Off
EXTRA_CHARGES,Account Charge
EXTRA_CHARGES,applied network adjustment due to
NETWORK_LINE_ITEMS,Distribution Charges - Volume Charge
NETWORK_LINE_ITEMS,Distribution Charges - Anytime Volume Charge
NETWORK_LINE_ITEMS,Distribution Charges - Controlled Load
NETWORK_LINE_ITEMS,Distribution Charges - PureEnergy
NETWORK_LINE_ITEMS,Distribution Charges - Rolling MHQ
NETWORK_LINE_ITEMS,Distribution Charges - Energy
NETWORK_LINE_ITEMS,Distribution Charges - Peak MHQ
NETWORK_LINE_ITEMS,Variable Transport Charge
NETWORK_LINE_ITEMS,Volume Throughput - Balance
NETWORK_LINE_ITEMS,Volume Throughput - Next
NETWORK_LINE_ITEMS,Volume Throughput - First
NETWORK_LINE_ITEMS,Transportation Charge
NETWORK_LINE_ITEMS,Transmission Charges - Volume Charge
NETWORK_LINE_ITEMS,Transmission Charges - Controlled Load
NETWORK_LINE_ITEMS,Transmission Charges - PureEnergy
NETWORK_LINE_ITEMS,Transmission Charges - Balance
NETWORK_LINE_ITEMS,Transmission Charges - Peak MHQ
NETWORK_LINE_ITEMS,Transmission Charges - Energy
NETWORK_LINE_ITEMS,Transmission Charges - First
NETWORK_LINE_ITEMS,Transmission Charges - Next
NETWORK_LINE_ITEMS,Transmission Charges - Energy Usage
NETWORK_LINE_ITEMS,TUOS Volume
NETWORK_LINE_ITEMS,DUOS Volume
NETWORK_SERVICE,Distribution Charges - Supply Rate
NETWORK_SERVICE,Distribution Charges - Supply Charge
NETWORK_SERVICE,Distribution Charges - Service Charge
NETWORK_SERVICE,Distribution Charges - Fixed Charge
NETWORK_SERVICE,Distribution Charges - Access Charge
NETWORK_SERVICE,Transmission Charges - Supply Rate
NETWORK_SERVICE,Transmission Charges - Service Charge
NETWORK_SERVICE,Transmission Charges - Fixed Charge
NETWORK_SERVICE,Transmission Charges - Access Charge
NETWORK_SERVICE,Network Charges - Supply Rate
NETWORK_SERVICE,Network Charges - Fixed Charge
NETWORK_SERVICE,PFIT Recovery
NETWORK_SERVICE,JSC Fixed
NETWORK_SERVICE,TUOS Fixed
NETWORK_SERVICE,DUOS Fixed
NETWORK_SERVICE,EDSTT1 - Fixed
NETWORK_SERVICE,EDSTXT1 - Fixed
NETWORK_SERVICE,DUOS Fixed Charge
NETWORK_SERVICE,TUOS Fixed Charge
NETWORK_SERVICE,TOUS Fixed Charge
NETWORK_SERVICE,DUoS Inclining Fixed Charge
NETWORK_SERVICE,TUoS Inclining Fixed Charge
NETWORK_SERVICE,TUoS Network Access Charge
NETWORK_SERVICE,Three phase current transformer
NETWORK_SERVICE,Supply Abolishment - Simple
NETWORK_SERVICE,Common Services charge
NETWORK_SERVICE,General Services charge
NETWORK_SERVICE,Service Truck
NETWORK_SERVICE,Standby Feeder Charge
NETWORK_SERVICE,Reserve Feeder Charge
NETWORK_SERVICE,Network Fixed Step
NETWORK_SERVICE,Single phase meter
NETWORK_SERVICE,Reconnection - Site Visit
OTHER_CHARGES,Credits - GSL Credit from DB TXU
DISCOUNTS,Credits - 42% Guaranteed Discount
ENERGY_OTHER,Usage and supply charges - 1 X WL Hg 250W
ENERGY_LINE_ITEMS,Usage and supply charges - Controlled Load 2
ENERGY_SERVICE,Usage and supply charges - CL2 Supply charge
DISCOUNTS,Credits - 13% Direct Debit Discount
ENERGY_OTHER,Usage and supply charges - UMS Cathodic Protection
DEMANDS,Usage and supply charges - Mar Demand
DEMANDS,Energy Plan & Price Change - Apr Demand
DEMANDS,Price change - May Demand
ENERGY_LINE_ITEMS,Energy Plan & Price Change - Peak
ENERGY_LINE_ITEMS,Energy Plan & Price Change - Off peak
OTHER_CHARGES,Other charges - Disconnect/Reconnect Fee-DR
ENERGY_OTHER,1 X Unmetered-WL Sodium 400W
DISCOUNTS,Credits - 34% Guaranteed discount
DEMANDS,Usage and supply charges - Jun Demand (normalised for 30 days)
DEMANDS,Usage and supply charges - Aug Demand (normalised for 31 days)
OTHER_CHARGES,Credits - Unbillable consumption credit
DEMANDS,Usage and supply charges - May Demand (normalised for 31 days)
DISCOUNTS,Credits - QLD/AUS Gvt Energy Bill Relief*
DISCOUNTS,Credits - QLD Govt Cost of Living Rebate*
ENERGY_LINE_ITEMS,Peak season - Supply charge
ENERGY_LINE_ITEMS,Energy Plan & Price Change - General Usage next
OTHER_CHARGES,Other charges - Special Meter Read Fee-DR
DISCOUNTS,Credits - 30% Guaranteed Discount
DISCOUNTS,Credits - 16% Guaranteed discount
DISCOUNTS,Credits - 16% Guaranteed Discount
ENERGY_SERVICE,Price change - Supply charge
ENERGY_LINE_ITEMS,Price change - General Usage
EXTRA_CHARGES,Other charges - Late Payment Fee - DR*
DISCOUNTS,Credits - AGL Safety Net Discount
OTHER_CHARGES,Adjustments - Gas Energy Charge Adjustment
OTHER_CHARGES,Energy Charges - Contract Overrun Charge
OTHER_CHARGES,Adjustments - Credit adjustment
OTHER_CHARGES,Network Charges - Negotiated Network Charge
OTHER_CHARGES,Adjustments - Network Charge Adj-CR
OTHER_CHARGES,Other charges - MRM - Meter Removal Request
ENERGY_LINE_ITEMS,Usage & supply charges - General usage
ENERGY_LINE_ITEMS,Usage & supply charges - General usage next
ENERGY_SERVICE,Usage & supply charges - Supply charge
OTHER_CHARGES,Usage & supply charges - Unbillable consumption credit
OTHER_CHARGES,Other Charges - Reversal Debit*
CERTIFICATES,Renewable Energy Charges - E&REC LRET Flexi Renewable
CERTIFICATES,Renewable Energy Charges - E&REC SRES Flexi Renewable
CERTIFICATES,Renewable Energy Charges - E&REC VEET Flexi Renewable
OTHER_CHARGES,Other Charges - COVID 19 Network Relief CR
DEMANDS,Network Charges - Other Demand
METERING,Network Charges - Citipower Metering Charges
ENERGY_OTHER,Charges - Telstra Cabinet 1 x 20W Fluore
ENERGY_OTHER,Telstra Cabinet 1 X 20W Fluore
DEMANDS,Usage and supply charges - May Demand
DEMANDS,Price change - Jun Demand (normalised for
DEMANDS,Price change - Jul Demand (normalised for
METERING,Other charges - Meter read fee (move in)
METERING,Other charges - Meter read fee (move in) (2023-07-03)
ENERGY_LINE_ITEMS,Old Rate Prorate - Peak
ENERGY_LINE_ITEMS,Old Rate Prorate - Off peak
ENERGY_SERVICE,Old Rate Prorate - Supply charge
ENERGY_LINE_ITEMS,New Rate Prorate - Peak
ENERGY_LINE_ITEMS,New Rate Prorate - Off peak
ENERGY_SERVICE,New Rate Prorate - Supply charge
DISCOUNTS,New Rate Prorate - Guaranteed Discount
OTHER_CHARGES,Credits - Reversed account charge Readings Adjusted (01 Jul 2023 - 23 Jul 2023)
OTHER_CHARGES,Credits - Reversed account charge Readings Adjusted (24 Jul 2023 - 31 Jul 2023)
OTHER_CHARGES,Credits - Reversed account charge Readings Adjusted (01 Aug 2023 - 22 Oct 2023)
OTHER_CHARGES,Credits - Reversed account charge Readings Adjusted
DISCOUNTS,Credits - QLD/AUS Gvt Energy Bill Relief
DISCOUNTS,Credits - QLD Govt Cost of Living Rebate
ENERGY_LINE_ITEMS,Price change - General usage
ENERGY_LINE_ITEMS,Price change - General usage next
ENERGY_LINE_ITEMS,Charges - Peak Usage First 0-190
ENERGY_LINE_ITEMS,Charges - Peak Usage Balance 191+
ENERGY_LINE_ITEMS,Charges - Peak Usage First 0-134
ENERGY_LINE_ITEMS,Charges - Peak Usage Balance 135+
ENERGY_LINE_ITEMS,Charges - First 0-190
ENERGY_LINE_ITEMS,Charges - Balance 191+
ENERGY_LINE_ITEMS,Charges - First 0-134
ENERGY_LINE_ITEMS,Charges - Balance 135+
ENERGY_LINE_ITEMS,General usage
ENERGY_LINE_ITEMS,General usage next
ENERGY_LINE_ITEMS,Old Rate Prorate - General usage
ENERGY_LINE_ITEMS,Old Rate Prorate - General usage next
ENERGY_LINE_ITEMS,New Rate Prorate - General usage
ENERGY_LINE_ITEMS,New Rate Prorate - General usage next
ENERGY_OTHER,Unmetered- WL Sodium 400W
ENERGY_OTHER,Old Rate Prorate - 1 X Unmetered-WL Sodium 400W
ENERGY_OTHER,New Rate Prorate - 1 X Unmetered-WL Sodium 400W
ENERGY_LINE_ITEMS,Charges - Peak Usage First 0-7562
ENERGY_LINE_ITEMS,Charges - Peak Usage First 0-24000
ENERGY_LINE_ITEMS,Charges - First 0-7562
ENERGY_LINE_ITEMS,Charges - First 0-24000
ENERGY_LINE_ITEMS,Electricity - Off-peak
ENERGY_LINE_ITEMS,Electricity - Peak
ENERGY_LINE_ITEMS,Electricity - Daily Supply
ENERGY_SOLAR,Solar credits - Feed-in Credit
ENERGY_LINE_ITEMS,Off-peak
ENERGY_SOLAR,Feed-in Credit
CERTIFICATES,LGC
CERTIFICATES,Energy Plan & Price Change - LGC
ENERGY_SERVICE,Energy accounting services
ENERGY_LINE_ITEMS,Unchanged rate - Peak
ENERGY_LINE_ITEMS,Unchanged rate - Off peak
CERTIFICATES,Unchanged rate - LGC
ENERGY_SERVICE,Unchanged rate - Energy accounting services
DEMANDS,Usage and supply charges - Jun Demand (normalised
DEMANDS,Price change - Aug Demand (normalised for
ENERGY_LINE_ITEMS,ENERGY CHARGES - Off-
NETWORK_LINE_ITEMS,ENERGY CHARGES - Network
CERTIFICATES,RENEWABLE ENERGY CHARGES - E&REC- LRET Flexi Renewable
CERTIFICATES,RENEWABLE ENERGY CHARGES - E&REC- SRESFlexi Renewable
OTHER_CHARGES,Adjustments - Meter Charge Adj-DR
ENERGY_OTHER,Usage and supply charges - 1 x WL Hg 250W
ENERGY_OTHER,Old Rate Prorate - 1 X WL Hg 250W
ENERGY_OTHER,New Rate Prorate - 1 X WL Hg 250W
ENERGY_LINE_ITEMS,General Usage next
ENERGY_LINE_ITEMS,Electricity - First 0-29918
ENERGY_LINE_ITEMS,Electricity - Remaining
ENERGY_LINE_ITEMS,First 0-29918
ENERGY_LINE_ITEMS,Remaining
EXTRA_CHARGES,Other charges - Late Payment Fee - DR
ENERGY_LINE_ITEMS,Charges - Peak Usage First 0-317
ENERGY_LINE_ITEMS,Charges - Peak Usage Balance 318+
ENERGY_LINE_ITEMS,Charges - Off-Peak Usage Energy Use
DISCOUNTS,Discounts and Rebates - Guaranteed usage discount (41%)
ENERGY_LINE_ITEMS,Charges: - First 0-317
ENERGY_LINE_ITEMS,Charges: - Balance 318+
ENERGY_LINE_ITEMS,Charges: - Energy Use
ENERGY_SERVICE,Charges: - Supply Charge
NETWORK_LINE_ITEMS,ENERGY CHARGES - NetworkPeak
DEMANDS,ENERGY CHARGES - Summer Demand
CERTIFICATES,RENEWABLE ENERGY CHARGES - E & REC - LRET
ENERGY_LINE_ITEMS,Area Lighting Energy Charge
ENERGY_LINE_ITEMS,Area Lighting Supply Charge
ENERGY_LINE_ITEMS,Energy Use
METERING,Other charges - Meter read fee (special read)
METERING,Other charges - Meter read fee (special read) (2023-05-10)
OTHER_CHARGES,Other Charges - Reversal Debit
ENERGY_LINE_ITEMS,First 0-30247
ENERGY_LINE_ITEMS,First 0-92
ENERGY_LINE_ITEMS,Balance 93+
ENERGY_LINE_ITEMS,Summer Rate Prorate Peak
ENERGY_LINE_ITEMS,Non-Summer Rate Prorate Peak
ENERGY_LINE_ITEMS,Summer Rate Prorate - Peak
ENERGY_SERVICE,Summer Rate Prorate - Supply Charge
ENERGY_LINE_ITEMS,Non-Summer Rate Prorate - Peak
ENERGY_SERVICE,Non-Summer Rate Prorate - Supply Charge
ENERGY_LINE_ITEMS,Controlled Load 2
ENERGY_SERVICE,CL2 Supply charge
ENERGY_LINE_ITEMS,Price change - Controlled Load 2
ENERGY_LINE_ITEMS,New charges and credits - CL2 Supply charge
ENERGY_LINE_ITEMS,New charges and credits - Total charges
PAYMENT_APPLIED,Previous balance and payments - 2 Feb 24 payment
PAYMENT_APPLIED,Previous balance and payments - 12 Feb 24 payment
PAYMENT_APPLIED,Payments and Adjustments - MANUAL EFT PMT
ENERGY_SERVICE,Payments and Adjustments - Metered Supply Charge
ENERGY_LINE_ITEMS,Payments and Adjustments - Metered LPG
ENERGY_LINE_ITEMS,Energy - Peak
ENERGY_LINE_ITEMS,Energy - Off-Peak
DEMANDS,Network - Demand Charge
MARKET,Regulated - AEMO Participant Charge
MARKET,Regulated - AEMO Ancillary Charge
MARKET,Regulated - AEMO FRC Operations
CERTIFICATES,Environmental - SREC Charge
CERTIFICATES,Environmental - LREC Charge
PAYMENT_APPLIED,Previous balance and payments - 17 Nov 23 payment
PAYMENT_APPLIED,Previous balance and payments - 6 Dec 23 payment
PAYMENT_APPLIED,Previous balance and payments - 8 Sep 23 payment
PAYMENT_APPLIED,Previous balance and payments - 4 Aug 23 payment
PAYMENT_APPLIED,Previous balance and payments - 26 Jun 23 payment
PAYMENT_APPLIED,Previous balance and payments - 14 Jul 23 payment
PAYMENT_APPLIED,Previous balance and payments. - 19 May 23 payment
PAYMENT_APPLIED,Previous balance and payments. - 17 Apr 23 payment
PAYMENT_APPLIED,Previous balance and payments. - 10 Mar 23 payment
PAYMENT_APPLIED,Previous balance and payments - 2 May 24 payment
PAYMENT_APPLIED,Payment received
PAYMENT_APPLIED,"Credits - Batch transfer: remit processing (non-taxable, no GST)"
ENERGY_LINE_ITEMS,Usage and supply - Off-peak
ENERGY_SERVICE,Usage and supply - Daily Supply
ENERGY_LINE_ITEMS,Energy - Peak 1
ENERGY_LINE_ITEMS,Energy - Offpeak 1
ENERGY_LINE_ITEMS,First 0-102
ENERGY_LINE_ITEMS,Balance 103+
PAYMENT_APPLIED,"Credits - Batch transfer: Remit processing (non-taxable, no GST)"
EXTRA_CHARGES,Other Charges & Adjustments - Late Payment Fee (No GST)
ENERGY_LINE_ITEMS,Charges - Peak Usage First 0-5370
ENERGY_LINE_ITEMS,Charges - Peak Usage Balance 5371+
DISCOUNTS,Discounts and Rebates - Guaranteed usage discount (26%)
ENERGY_LINE_ITEMS,Charges: - First 0-5370
ENERGY_LINE_ITEMS,Charges: - Balance 5371+
ENERGY_LINE_ITEMS,General Usage First 9535
ENERGY_LINE_ITEMS,General Usage Remaining
ENERGY_SOLAR,Solar exports - Solar feed-in credit
ENERGY_LINE_ITEMS,Shoulder Usage
ENERGY_LINE_ITEMS,Charges - Usage First 0-1015
DISCOUNTS,Discounts and Rebates - Guaranteed usage discount (27%)
ENERGY_LINE_ITEMS,Charges - Usage Next 1016-671770
DISCOUNTS,Discounts and Rebates - Guaranteed usage discount (10%)
ENERGY_LINE_ITEMS,Charges - Usage First 0-911
ENERGY_LINE_ITEMS,Charges - Usage Next 912-603222
ENERGY_LINE_ITEMS,Charges - First 0-1015
ENERGY_LINE_ITEMS,Charges - Next 1016-671770
ENERGY_LINE_ITEMS,Discounts and Rebates - First 0-911
ENERGY_LINE_ITEMS,Discounts and Rebates - Next 912-603222
ENERGY_SERVICE,Discounts and Rebates - Supply Charge
ENERGY_LINE_ITEMS,Usage - First 0-17800
ENERGY_LINE_ITEMS,Usage - Next 17801-44500
ENERGY_LINE_ITEMS,Usage - Next 44501-89000
ENERGY_LINE_ITEMS,Usage - Next 89001-178000
ENERGY_LINE_ITEMS,Usage - Next 178001-623000
DISCOUNTS,Discounts and Rebates - Direct debit usage discount (1%)
ENERGY_LINE_ITEMS,Charges - First 0-17800
ENERGY_LINE_ITEMS,Charges - Next 17801-44500
ENERGY_LINE_ITEMS,Charges - Next 44501-89000
ENERGY_LINE_ITEMS,Charges - Next 89001-178000
ENERGY_LINE_ITEMS,Charges - Next 178001-623000
ENERGY_LINE_ITEMS,Charges - Usage First 0-12800
ENERGY_LINE_ITEMS,Charges - First 0-12800
ENERGY_SERVICE,Metered Supply Charge
ENERGY_LINE_ITEMS,Metered LPG
PAYMENT_APPLIED,Payments - MANUAL EFT PMT
ENERGY_SERVICE,Payments - Metered Supply Charge
ENERGY_LINE_ITEMS,Payments - Metered LPG
ENERGY_LINE_ITEMS,Cathodic Rectifier Equip
ENERGY_LINE_ITEMS,Generation Charges - Generation
PAYMENT_APPLIED,"Credit applied since your last bill - Batch transfer: Remit processing (non-taxable, no GST)"
PAYMENT_APPLIED,MANUAL EFT PMT
METERING,Metering - Metering Charge
METERING,Metering - Value Added Service Charge
METERING,Metering - Supplementary Metering Charge
ENERGY_SERVICE,Retail Service - Service Charge
GREEN,Regulated Charges - GST
ENERGY_LINE_ITEMS,Energy - Shoulder
DEMANDS,Network - Demand
NETWORK_LINE_ITEMS,Network - Low Peak
NETWORK_LINE_ITEMS,Network - Off-Peak
ENERGY_SOLAR,Network - Feed-In Credit
CERTIFICATES,Environmental - PRC Charge
CERTIFICATES,Environmental - ESC Charge
